video_1_segment_0| Ama audio libros presenta Aristóteles, la gran morad, narración Artur Mas. | Ama audio libros presenta Aristteles, la gran morad, narracin Artur Mas.
video_1_segment_1010| y que la virtud a la aumentarse lejos de hacer a los hombres más malos, deberá por el contrario hacer los mejores porque el medio | y que la virtud a la aumentarse lejos de hacer a los hombres ms malos, deber por el contrario hacer los mejores porque el medio.
video_1_segment_1011| de que hablamos es el medio entre el exceso y el defecto en las pasiones que agitan al corazón del hombre. Pero no hablemos más. | de que hablamos es el medio entre el exceso y el defecto en las pasiones que agitan al corazn del hombre Pero no hablemos ms.
video_1_segment_1012| sobre esta materia. Capítulo 6 Nuevas teorías sobre la templanza Después de lo que | sobre esta materia Captulo seis Nuevas teoras sobre la templanza Despus de lo que.
video_1_segment_1013| Parece de, es indispensable comenzar un nuevo estudio y tratar de la templanza y de la intemperancia. Pero como esta virtudio este visio tiene algo | Parece de, es indispensable comenzar un nuevo estudio y tratar de la templanza y de la intemperancia Pero como esta virtudio este visio tiene algo.
video_1_segment_1014| de extraño no deberá sorprender si las teorías con cuyo auxílio se las explica parecen igualmente extrañas. La virtud de la | de extrao no deber sorprender si las teoras con cuyo auxlio se las explica parecen igualmente extraas La virtud de la.
video_1_segment_1015| en planza no se parece a ninguna otra. En todas las demás virtudes, la razón y las pasiones arrastran en el mismo sentido y no se | en planza no se parece a ninguna otra En todas las dems virtudes, la razn y las pasiones arrastran en el mismo sentido y no se.
video_1_segment_1016| contradicen. En la templanza sucede lo contrario, las razones y las pasiones están directamente opuestas entre sí. En el alma las | contradicen En la templanza sucede lo contrario, las razones y las pasiones estn directamente opuestas entre s En el alma las.
video_1_segment_1017| tres cualidades que podemos llamar malas son el vicio, la intemperancia y la brutalidad. Más arriba hemos explicado lo que son el vicio y la virtud. | tres cualidades que podemos llamar malas son el vicio, la intemperancia y la brutalidad Ms arriba hemos explicado lo que son el vicio y la virtud.
video_1_segment_1018| y en qué consisten, y ahora no resta hablar de la intemperancia y de la brutalidad. | y en qu consisten, y ahora no resta hablar de la intemperancia y de la brutalidad.
video_1_segment_1019| de la brutalidad. La brutalidad es, en cierta manera, el visio llevado hasta el último extremo y cuando vemos un hombre, | de la brutalidad La brutalidad es, en cierta manera, el visio llevado hasta el ltimo extremo y cuando vemos un hombre,.
video_1_segment_102| este bien, porque es el bien por excelencia y como en todas las cosas la esencia tiene este carácter eminente concluyen de aquí | este bien, porque es el bien por excelencia y como en todas las cosas la esencia tiene este carcter eminente concluyen de aqu.
video_1_segment_1020| absolutamente depravado, decimos que no es un hombre, sino un bruto, representando la brutalidad, uno de los grados de la | absolutamente depravado, decimos que no es un hombre, sino un bruto, representando la brutalidad, uno de los grados de la.
video_1_segment_1021| el vício. La virtud opuesta a esta odiosa cualidad no tiene nombre especial, pero cualquiera que sea, puede decirse que trasciende del hombre | el vcio La virtud opuesta a esta odiosa cualidad no tiene nombre especial, pero cualquiera que sea, puede decirse que trasciende del hombre.
video_1_segment_1022| y que es la virtud de los héroes y de los dioses. Esta virtud ha quedado sin nombre porque la virtud no puede aplicarse a Dios. | y que es la virtud de los hroes y de los dioses Esta virtud ha quedado sin nombre porque la virtud no puede aplicarse a Dios.
video_1_segment_1023| Está por encima de la virtud y no se arregla por ella, puesto que, en otro caso, sería la virtud superior a Dios. ¿Qué aquí? | Est por encima de la virtud y no se arregla por ella, puesto que, en otro caso, sera la virtud superior a Dios ¿Qu aqu?.
video_1_segment_1024| que la virtud opuesta a la brutalidad no puede tener nombre particular. Es divina y supera a las fuerzas del hombre, y así como la brutalidad. | que la virtud opuesta a la brutalidad no puede tener nombre particular Es divina y supera a las fuerzas del hombre, y as como la brutalidad.
video_1_segment_1025| que en un sentido es extraño al hombre, así la virtud que se opone a esta de gran acción no lo es menos. | que en un sentido es extrao al hombre, as la virtud que se opone a esta de gran accin no lo es menos.
video_1_segment_1026| Capítulo 8 de la Templanza. Para explicar bien la Templanza y la Intemperancia, debemos | Captulo ocho de la Templanza Para explicar bien la Templanza y la Intemperancia, debemos.
video_1_segment_1027| antes todo exponer la discusión de que han sido objeto y las teorías que se han suscitado algunas de las cuales son contrarias a los hechos. | antes todo exponer la discusin de que han sido objeto y las teoras que se han suscitado algunas de las cuales son contrarias a los hechos.
video_1_segment_1028| Estudiando las cuestiones que se han promovido y comprobándolas nosotros mismos, llegamos a descubrir que en lo posible la verdad en estas | Estudiando las cuestiones que se han promovido y comprobndolas nosotros mismos, llegamos a descubrir que en lo posible la verdad en estas.
video_1_segment_1029| materias. Y este será el mejor método y el que más fácilmente nos puede conducir para conseguirlo. El viejo Sócrates llegó hasta su | materias Y este ser el mejor mtodo y el que ms fcilmente nos puede conducir para conseguirlo El viejo Scrates lleg hasta su.
video_1_segment_103| que la idea de bien es el supremo bien. No niego que este razonamiento tenga algo de verdadero, pero la ciencia | que la idea de bien es el supremo bien No niego que este razonamiento tenga algo de verdadero, pero la ciencia.
video_1_segment_1030| primer innegar enteramente la Intemperancia, sosteniendo que nadie hace el mal con conocimiento de causa. | primer innegar enteramente la Intemperancia, sosteniendo que nadie hace el mal con conocimiento de causa.
video_1_segment_1031| esperante que no sabe dominarse, parece que hace mal sabiendo que es mal, arrastrado y todo por la pasión que le domina. | esperante que no sabe dominarse, parece que hace mal sabiendo que es mal, arrastrado y todo por la pasin que le domina.
video_1_segment_1032| Un estado de esta opinión, sócrate es creo que no había en temperancia, pero este es un error. Es un absurdo a tenerse a semejante razonamiento. | Un estado de esta opinin, scrate es creo que no haba en temperancia, pero este es un error Es un absurdo a tenerse a semejante razonamiento.
video_1_segment_1033| y negar un hecho que es de todo acertidumbre. Sí hay hombres intemperantes y saben muy bien que alobrar como obran, hacen mal. | y negar un hecho que es de todo acertidumbre S hay hombres intemperantes y saben muy bien que alobrar como obran, hacen mal.
video_1_segment_1034| Puesto que la Intemperancia es una cosa real, pregunto si el Intemperante tiene una ciencia de cierta especie que le hace ver y buscar las más | Puesto que la Intemperancia es una cosa real, pregunto si el Intemperante tiene una ciencia de cierta especie que le hace ver y buscar las ms.
video_1_segment_1035| las acciones que comete. Por otra parte, parecería absurdo que lo que hay en nosotros, de más poderoso y más firme, se ha dominado y vencido por no. | las acciones que comete Por otra parte, parecera absurdo que lo que hay en nosotros, de ms poderoso y ms firme, se ha dominado y vencido por no.
video_1_segment_1036| ninguna otra cosa. Ahora bien, de todo lo que existe en nosotros, la ciencia es sin contradicción, lo estable y lo más fuerte, y esto es lo que se puede hacer. | ninguna otra cosa Ahora bien, de todo lo que existe en nosotros, la ciencia es sin contradiccin, lo estable y lo ms fuerte, y esto es lo que se puede hacer.
video_1_segment_1037| la observación tiende a probar que el intemperante no tiene el conocimiento de lo que hace, mas si no tiene precisamente la ciencia tiene | la observacin tiende a probar que el intemperante no tiene el conocimiento de lo que hace, mas si no tiene precisamente la ciencia tiene.
video_1_segment_1038| Por lo menos la opinión tiene la sospecha, pero si el intemperante solo tiene una sospecha de lo que hace, entonces cesada. | Por lo menos la opinin tiene la sospecha, pero si el intemperante solo tiene una sospecha de lo que hace, entonces cesada.
video_1_segment_1039| de ser reprensible. Si hace alguna cosa mala, sin saber precisamente que es mala, sino suponiendo lo mediante una opinión incierta, se le puede | de ser reprensible Si hace alguna cosa mala, sin saber precisamente que es mala, sino suponiendo lo mediante una opinin incierta, se le puede.
video_1_segment_104| El arte político de que aquí se trata no tiene en cuenta este bien, porque lo que indaga es el bien relativo a nosotros mismos. | El arte poltico de que aqu se trata no tiene en cuenta este bien, porque lo que indaga es el bien relativo a nosotros mismos.
video_1_segment_1040| de perdonar que se deje llevar del placer, puesto que comete el mal no sabiendo exactamente que es mal y presumiéndolo tan solo. | de perdonar que se deje llevar del placer, puesto que comete el mal no sabiendo exactamente que es mal y presumindolo tan solo.
video_1_segment_1041| No se reprende a aquellos a quienes se excusa, y por consiguiente, puesto que el intemperante solo tiene una vaga sospecha de lo que hace, no es repito. | No se reprende a aquellos a quienes se excusa, y por consiguiente, puesto que el intemperante solo tiene una vaga sospecha de lo que hace, no es repito.
video_1_segment_1042| flexible. Sin embargo, es realmente digno de censura. Todos estos razonamientos solo sirven para entorpecernos. | flexible Sin embargo, es realmente digno de censura Todos estos razonamientos solo sirven para entorpecernos.
video_1_segment_1043| negando que el intemperante tiene la ciencia de lo que hace nos llevan a una conclusión absurda y otros sosteniendo que ni aún. | negando que el intemperante tiene la ciencia de lo que hace nos llevan a una conclusin absurda y otros sosteniendo que ni an.
video_1_segment_1044| una vaga opinión tienen nos han conducido a una oscuridad no menos extraña. Pero hay aquí otras cuestiones que también se pueden promover. | una vaga opinin tienen nos han conducido a una oscuridad no menos extraa Pero hay aqu otras cuestiones que tambin se pueden promover.
video_1_segment_1045| El hombre que sabe ser prudente podrá también ser templado. Y entonces se pregunta, ¿hay algo que pueda causar al prudente deseos violos? | El hombre que sabe ser prudente podr tambin ser templado Y entonces se pregunta, ¿hay algo que pueda causar al prudente deseos violos?.
video_1_segment_1046| ¿Si estemplado y si se domina, como se supone, será preciso que experimente pasiones violentas, porque no se puede llamarte en voz de la gente. | ¿Si estemplado y si se domina, como se supone, ser preciso que experimente pasiones violentas, porque no se puede llamarte en voz de la gente.
video_1_segment_1047| plado a un hombre que solo domina las pasiones moderadas. Luego, si no tiene pasiones vivas ya no es moderado, porque no hay moderación. | plado a un hombre que solo domina las pasiones moderadas Luego, si no tiene pasiones vivas ya no es moderado, porque no hay moderacin.
video_1_segment_1048| de este momento en que no hay deseos ni emociones. Pero esta misma explicación presenta dificultades nuevas, porque este razonamiento es un gran problema. | de este momento en que no hay deseos ni emociones Pero esta misma explicacin presenta dificultades nuevas, porque este razonamiento es un gran problema.
video_1_segment_1049| tiene a concluir que algunas veces en intemperantes digno de alabanza y el templado digno de represión puede suceder ese digno. | tiene a concluir que algunas veces en intemperantes digno de alabanza y el templado digno de represin puede suceder ese digno.
video_1_segment_105| Así como ninguna ciencia ni arte, dice que el fin que se propone es bueno, la política tampoco lo dice del suyo. Y por consiguiente, no discute el... | As como ninguna ciencia ni arte, dice que el fin que se propone es bueno, la poltica tampoco lo dice del suyo Y por consiguiente, no discute el.
video_1_segment_1050| que algunos engañen su razonamiento y que razonando encuentre que el bien es el mal arrastrándole por otra parte la pasión. | que algunos engaen su razonamiento y que razonando encuentre que el bien es el mal arrastrndole por otra parte la pasin.
video_1_segment_1051| hacia el bien. La razón no le permitirá hacer lo que él tiene por mal, pero dejando seguir por la pasión lo hará, porque obvio. | hacia el bien La razn no le permitir hacer lo que l tiene por mal, pero dejando seguir por la pasin lo har, porque obvio.
video_1_segment_1052| para comporme a la pasión es lo propio del intemperante como ya hemos dicho. Por consiguiente, hará el bien porque su pasión le mueve. | para comporme a la pasin es lo propio del intemperante como ya hemos dicho Por consiguiente, har el bien porque su pasin le mueve.
video_1_segment_1053| a ello, pero su razón le impedirá a obrar, puesto que suponemos que se aleja del bien que desconoce a causa del razonamiento hecho. | a ello, pero su razn le impedir a obrar, puesto que suponemos que se aleja del bien que desconoce a causa del razonamiento hecho.
video_1_segment_1054| Luego, este hombre será intemperante y sin embargo, será laudable, puesto que lo es en tanto que obra el bien. | Luego, este hombre ser intemperante y sin embargo, ser laudable, puesto que lo es en tanto que obra el bien.
video_1_segment_1055| Y es aquí un primer resultado que es perfectamente absurdo. Partamos también de esta misma hipótesis y supongamos que este hombre se extiende. | Y es aqu un primer resultado que es perfectamente absurdo Partamos tambin de esta misma hiptesis y supongamos que este hombre se extiende.
video_1_segment_1056| extravia usando de su razón, la cual le hace creer que el bien no es el bien y que al mismo tiempo su pasión le conduzca igualmente. | extravia usando de su razn, la cual le hace creer que el bien no es el bien y que al mismo tiempo su pasin le conduzca igualmente.
video_1_segment_1057| ahora bien, pero la templanza consiste en resistir mediante la razón las pasiones y los deseos que uno siente en | ahora bien, pero la templanza consiste en resistir mediante la razn las pasiones y los deseos que uno siente en.
video_1_segment_1058| en su alma. Y así este hombre que se verá engañado por su razón estará impedido de ejecutarlo que su pasión desea y por consiguiente de hacer. | en su alma Y as este hombre que se ver engaado por su razn estar impedido de ejecutarlo que su pasin desea y por consiguiente de hacer.
video_1_segment_1059| pero el bien, puesto que al bien es al que le conducía su pasión, pero el que no sabe hacer el bien en los casos en que es de su deber hacerlo. | pero el bien, puesto que al bien es al que le conduca su pasin, pero el que no sabe hacer el bien en los casos en que es de su deber hacerlo.
video_1_segment_106| ni habla del bien, que sólo se refiere a la idea. Pero se dirá quizá que es conveniente y posible partir de este bien ideal. | ni habla del bien, que slo se refiere a la idea Pero se dir quiz que es conveniente y posible partir de este bien ideal.
video_1_segment_1060| sino es reprensible, luego el hombre templado será algunas veces digno de reprensión. Esta segunda consecuencia es | sino es reprensible, luego el hombre templado ser algunas veces digno de reprensin Esta segunda consecuencia es.
video_1_segment_1061| tan absurda como la otra. Otra cuestión tiene por objeto, indagar si puede tener lugar la intensa y ser uno intemperante. | tan absurda como la otra Otra cuestin tiene por objeto, indagar si puede tener lugar la intensa y ser uno intemperante.
video_1_segment_1062| en el uso de todas especies de cosas y en la busca de todas ellas. Si es uno intemperante, por ejemplo, en punto a riqueza o no re, | en el uso de todas especies de cosas y en la busca de todas ellas Si es uno intemperante, por ejemplo, en punto a riqueza o no re,.
video_1_segment_1063| colera, gloria y todas las cosas en que los hombres parecen mostrarse intemperantes, o bien si la intemperancia sólo sea. | colera, gloria y todas las cosas en que los hombres parecen mostrarse intemperantes, o bien si la intemperancia slo sea.
video_1_segment_1064| aplica a un orden especial de cosas. ¿Qué aquí cuestiones que parecen dudosas y que precisamente hay que resolver? | aplica a un orden especial de cosas ¿Qu aqu cuestiones que parecen dudosas y que precisamente hay que resolver?.
video_1_segment_1065| ante todo, disputamos la cuestión relativa a la ciencia que se niega al intemperante. Como ya lo hemos hecho ver, es un absurdo suponer | ante todo, disputamos la cuestin relativa a la ciencia que se niega al intemperante Como ya lo hemos hecho ver, es un absurdo suponer.
video_1_segment_1066| que un hombre que tiene la ciencia, la pierda de repente o la dejes capar. El mismo razonamiento tiene lugar respecto a la simple opinión. | que un hombre que tiene la ciencia, la pierda de repente o la dejes capar El mismo razonamiento tiene lugar respecto a la simple opinin.
video_1_segment_1067| y a la vaga sospecha, y no hay aquí ninguna diferencia entre la opinión incierta y la ciencia precisa. Desde el momento en que la simple opinión | y a la vaga sospecha, y no hay aqu ninguna diferencia entre la opinin incierta y la ciencia precisa Desde el momento en que la simple opinin.
video_1_segment_1068| la causa de su misma vivacidad, se ha hecho sólida e inquebrantable, no la separará ya la menor diferencia de la ciencia, con respecto | la causa de su misma vivacidad, se ha hecho slida e inquebrantable, no la separar ya la menor diferencia de la ciencia, con respecto.
video_1_segment_1069| a los que tienen estas opiniones, porque creerán que las cosas son realmente como su opinión se las hace ver. | a los que tienen estas opiniones, porque creern que las cosas son realmente como su opinin se las hace ver.
video_1_segment_107| como de un principio sólido y tratarán seguida de cada bien particular. Rechazo este método porque jamás debe recurrirse. | como de un principio slido y tratarn seguida de cada bien particular Rechazo este mtodo porque jams debe recurrirse.
video_1_segment_1070| de Eceso, al parecer tenía esta opinión imperturbable en todas las creencias que engendraba, y así nada tiene de | de Eceso, al parecer tena esta opinin imperturbable en todas las creencias que engendraba, y as nada tiene de.
video_1_segment_1071| absurdo, el cree que el intemperante ya tenga la ciencia verdadera y a la simple opinión, tal como aquí la suponemos, pueda hacer. | absurdo, el cree que el intemperante ya tenga la ciencia verdadera y a la simple opinin, tal como aqu la suponemos, pueda hacer.
video_1_segment_1072| el mal. Esto nace de que la palabra saber tiene un doble sentido. En uno, saber significa poseer la ciencia, y decimos | el mal Esto nace de que la palabra saber tiene un doble sentido En uno, saber significa poseer la ciencia, y decimos.
video_1_segment_1073| que alguno sabe alguna cosa cuando posee la ciencia de esta cosa, y en otro saber significa obrar en conformidad. | que alguno sabe alguna cosa cuando posee la ciencia de esta cosa, y en otro saber significa obrar en conformidad.
video_1_segment_1074| a la ciencia que se tiene. Y así, el intemperante puede ser muy bien el hombre que tiene la ciencia del bien, pero que no obra conforme. | a la ciencia que se tiene Y as, el intemperante puede ser muy bien el hombre que tiene la ciencia del bien, pero que no obra conforme.
video_1_segment_1075| de él acto que no obra conforme a esta ciencia no es un absurdo sostener que podía hacer el mal en el acto mismo desde el que se ha hecho. | de l acto que no obra conforme a esta ciencia no es un absurdo sostener que poda hacer el mal en el acto mismo desde el que se ha hecho.
video_1_segment_1076| tener la ciencia del bien. Este hombre se encuentra en el mismo caso que los que están dormidos, los cuales podrán tener la ciencia, pero hará | tener la ciencia del bien Este hombre se encuentra en el mismo caso que los que estn dormidos, los cuales podrn tener la ciencia, pero har.
video_1_segment_1077| ni experimentarán durante el sueño una multitud de cosas que repugnen a la ciencia porque en este estado la ciencia no obra en ellos. | ni experimentarn durante el sueo una multitud de cosas que repugnen a la ciencia porque en este estado la ciencia no obra en ellos.
video_1_segment_1078| Lo mismo sucede al intemperante, se parece al hombre dormido, y no obra ya conforme a la ciencia que posee. ¿Talez la solución? | Lo mismo sucede al intemperante, se parece al hombre dormido, y no obra ya conforme a la ciencia que posee ¿Talez la solucin?.
video_1_segment_1079| de la cuestión que se había suscitado sobre este punto, porque se preguntaba si en este momento el intemperante pierde la ciencia que posee. | de la cuestin que se haba suscitado sobre este punto, porque se preguntaba si en este momento el intemperante pierde la ciencia que posee.
video_1_segment_108| otros principios que los que sean propios de la materia que se va a estudiar. Por ejemplo, para probar que un triángulo tiene sus tres ángulos iguales | otros principios que los que sean propios de la materia que se va a estudiar Por ejemplo, para probar que un tringulo tiene sus tres ngulos iguales.
video_1_segment_1080| O si la ciencia le falta en tal momento, las dos suposiciones parecen igualmente insostenibles. Pero ve aquí otra explicación que puede hacer esto perfecto. | O si la ciencia le falta en tal momento, las dos suposiciones parecen igualmente insostenibles Pero ve aqu otra explicacin que puede hacer esto perfecto.
video_1_segment_1081| exactamente evidente. Ya hemos dicho en los analíticos que el silojismo se forma de dos proposiciones, una universal y | exactamente evidente Ya hemos dicho en los analticos que el silojismo se forma de dos proposiciones, una universal y.
video_1_segment_1082| y otra comprendida en esta, que es particular. Por ejemplo, yo securar a todo hombre que tiene fiebre, es así que el que tengo. | y otra comprendida en esta, que es particular Por ejemplo, yo securar a todo hombre que tiene fiebre, es as que el que tengo.
video_1_segment_1083| a la vista tiene ciebre, luego yo securar a este hombre en particular, pero puede suceder que se payó de ciencia universal. | a la vista tiene ciebre, luego yo securar a este hombre en particular, pero puede suceder que se pay de ciencia universal.
video_1_segment_1084| general lo que no se de ciencia particular puede incurirse en un error en este último caso hasta por alguno que tenga ciencia. | general lo que no se de ciencia particular puede incurirse en un error en este ltimo caso hasta por alguno que tenga ciencia.
video_1_segment_1085| Por ejemplo, tal persona sabe curar a todo hombre que tiene fiebre, pero sin embargo, no sabe en particular que un hombre dado tiene fiebre. | Por ejemplo, tal persona sabe curar a todo hombre que tiene fiebre, pero sin embargo, no sabe en particular que un hombre dado tiene fiebre.
video_1_segment_1086| E aquí como, de igual forma, el intemperante puede cometer una falta, aunque tenga la ciencia de aquello que él practica, porque puede su | E aqu como, de igual forma, el intemperante puede cometer una falta, aunque tenga la ciencia de aquello que l practica, porque puede su.
video_1_segment_1087| de ver muy bien que el intemperante tenga esta ciencia general de que tal es cosa somalas y dañosas, sin que por eso sepa claramente que tal es | de ver muy bien que el intemperante tenga esta ciencia general de que tal es cosa somalas y daosas, sin que por eso sepa claramente que tal es.
video_1_segment_1088| de las cosas en particular son malas y dañosas para él. Y así se engañará a pesar de tener la ciencia, porque posee la ciencia | de las cosas en particular son malas y daosas para l Y as se engaar a pesar de tener la ciencia, porque posee la ciencia.
video_1_segment_1089| general y no la ciencia particular. No es pues absurdo sostener que el imperante hará el mal, aun teniendo la ciencia. | general y no la ciencia particular No es pues absurdo sostener que el imperante har el mal, aun teniendo la ciencia.
video_1_segment_109| ¿A dos rectos sería un absurdo partir del principio de que el alma es inmortal? Este principio nada tiene que hacer con la gente. | ¿A dos rectos sera un absurdo partir del principio de que el alma es inmortal? Este principio nada tiene que hacer con la gente.
video_1_segment_1090| de lo que hace. Lo mismo sucede poco más o menos, en el caso de embriagués. Los hebros cuando su embriagués les aban. | de lo que hace Lo mismo sucede poco ms o menos, en el caso de embriagus Los hebros cuando su embriagus les aban.
video_1_segment_1091| donado, vuelven a ser lo que eran antes. La razón y la ciencia no han desaparecido de ellos, sino que han sido dominadas y vencidas. | donado, vuelven a ser lo que eran antes La razn y la ciencia no han desaparecido de ellos, sino que han sido dominadas y vencidas.
video_1_segment_1092| por la embriagués y libres de ella vuelven a su estado ordinario. Lo mismo sucede al imperante, la pasión que le domina impone silencia. | por la embriagus y libres de ella vuelven a su estado ordinario Lo mismo sucede al imperante, la pasin que le domina impone silencia.
video_1_segment_1093| la razón, pero cuando la pasión cesa como cesa la embriaguez, el intemperante volve a lo que era antes de ceder ante ella. | la razn, pero cuando la pasin cesa como cesa la embriaguez, el intemperante volve a lo que era antes de ceder ante ella.
video_1_segment_1094| Pasemos ahora a otro razonamiento bastante embarazoso, con el cual se quiere demostrar que algunas veces la intemperancia puede ser dignada. | Pasemos ahora a otro razonamiento bastante embarazoso, con el cual se quiere demostrar que algunas veces la intemperancia puede ser dignada.
video_1_segment_1095| de a la avanza y la templanza dina de reprensión. Este segundo razonamiento no vale más que el primero. El templado lo mismo. | de a la avanza y la templanza dina de reprensin Este segundo razonamiento no vale ms que el primero El templado lo mismo.
video_1_segment_1096| como que el intemperante no es aquel la quien engaña sus razones, es el hombre que tiene el arrazón rista y sana y que juzga mediante ella lo que es muy bueno. | como que el intemperante no es aquel la quien engaa sus razones, es el hombre que tiene el arrazn rista y sana y que juzga mediante ella lo que es muy bueno.
video_1_segment_1097| malo y lo que es bueno. Pero que se hace intemperante cuando desobedece a esta razón y templado cuando se somete a ella sin dejarse llevar | malo y lo que es bueno Pero que se hace intemperante cuando desobedece a esta razn y templado cuando se somete a ella sin dejarse llevar.
video_1_segment_1098| de las pasiones que siente, de un hombre que tiene por cosa horrible golpear a su padre, pero que se abstiene de hacerlo cuando casualmente le ha | de las pasiones que siente, de un hombre que tiene por cosa horrible golpear a su padre, pero que se abstiene de hacerlo cuando casualmente le ha.
video_1_segment_1099| comete este deseo abominable, no puede decirse que sepa dominarse y que por este motivo se le debe a llamarte en plado. Pero, si en todo | comete este deseo abominable, no puede decirse que sepa dominarse y que por este motivo se le debe a llamarte en plado Pero, si en todo.
video_1_segment_11| Para él, la virtud es el camino hacia la felicidad y la vida buena. La virtud es una disposición adquirida que permite a la persona a la | Para l, la virtud es el camino hacia la felicidad y la vida buena La virtud es una disposicin adquirida que permite a la persona a la.
video_1_segment_110| geometría y un principio debe ser siempre propio y ligado con su objeto y en el ejemplo que acabo de presentar se puede muy bien probar. | geometra y un principio debe ser siempre propio y ligado con su objeto y en el ejemplo que acabo de presentar se puede muy bien probar.
video_1_segment_1100| todos los casos de este género que pueden proponerse. No hay templanza ni intemperancia, la intemperancia no puede ser dinas de a la avanza, ni la templota. | todos los casos de este gnero que pueden proponerse No hay templanza ni intemperancia, la intemperancia no puede ser dinas de a la avanza, ni la templota.
video_1_segment_1101| lanza dina de reprensión como se pretendía. Hay imperancias que son los productos de enfermedades y hay otras que son naturales. | lanza dina de reprensin como se pretenda Hay imperancias que son los productos de enfermedades y hay otras que son naturales.
video_1_segment_1102| Por ejemplo, es un defecto de enfermedad en no poder dejar de arrancarse los cabellos y roerlos. Cuando se domina este extraño caprí, | Por ejemplo, es un defecto de enfermedad en no poder dejar de arrancarse los cabellos y roerlos Cuando se domina este extrao capr,.
video_1_segment_1103| dicho, no por esto es un odino de la avanza ni tampoco reprensible por no poder dominarlo. O cuando menos, la victoria o la derrota son | dicho, no por esto es un odino de la avanza ni tampoco reprensible por no poder dominarlo O cuando menos, la victoria o la derrota son.
video_1_segment_1104| de muy poca importancia en este caso. De otra parte hay arrebatos que son naturales. Por ejemplo, compareciendo ante el truco. | de muy poca importancia en este caso De otra parte hay arrebatos que son naturales Por ejemplo, compareciendo ante el truco.
video_1_segment_1105| un hijo por haber golpeado a su padre, se defendió diciendo a los poeses. También el golpeó a su padre, y fue absuelto. | un hijo por haber golpeado a su padre, se defendi diciendo a los poeses Tambin el golpe a su padre, y fue absuelto.
video_1_segment_1106| porque creyeron los jueces que este era un delito natural que estaba en la sangre, lo cual no impide que si alguno ha sido, en un caso dado, más | porque creyeron los jueces que este era un delito natural que estaba en la sangre, lo cual no impide que si alguno ha sido, en un caso dado, ms.
